[2020-12-22 16:03:43,347] INFO [GroupMetadataManager brokerId=0] Group console-consumer-74728 transitioned to Dead in generation 2 (kafka.coordinator.group.GroupMetadataManager)
[2020-12-22 16:20:02,712] INFO Terminating process due to signal SIGTERM (org.apache.kafka.common.utils.LoggingSignalHandler)
[2020-12-22 16:20:02,713] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2020-12-22 16:20:02,713] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2020-12-22 16:20:02,732] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2020-12-22 16:20:02,736] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-12-22 16:20:02,736] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-12-22 16:20:02,736] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2020-12-22 16:20:02,736] INFO [SocketServer brokerId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2020-12-22 16:20:02,739] INFO [SocketServer brokerId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2020-12-22 16:20:02,740] INFO [data-plane Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2020-12-22 16:20:02,741] INFO [data-plane Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2020-12-22 16:20:02,755] INFO [ExpirationReaper-0-AlterAcls]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:02,934] INFO [ExpirationReaper-0-AlterAcls]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:02,934] INFO [ExpirationReaper-0-AlterAcls]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:02,935] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
